M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
2.0|2.0|16.0|154.0|218839.0|5985.0|547995894.0
2.0|2.0|32.0|154.0|218839.0|7979.0|547995894.0
2.0|4.0|2.0|163.0|669883.0|5984.0|547995894.0
2.0|4.0|4.0|163.0|669883.0|9973.0|547995894.0
2.0|4.0|8.0|163.0|669883.0|9974.0|547995894.0
2.0|4.0|16.0|163.0|669883.0|5984.0|547995894.0
2.0|4.0|32.0|163.0|669883.0|6982.0|547995894.0
2.0|8.0|2.0|140.0|308889.0|7979.0|547995894.0
2.0|8.0|4.0|140.0|308889.0|6982.0|547995894.0
2.0|8.0|8.0|140.0|308889.0|9973.0|547995894.0
2.0|8.0|16.0|140.0|308889.0|8977.0|547995894.0
2.0|8.0|32.0|140.0|308889.0|5984.0|547995894.0
2.0|16.0|2.0|140.0|66317.0|8976.0|547995894.0
2.0|16.0|4.0|140.0|66317.0|9985.0|547995894.0
2.0|16.0|8.0|140.0|66317.0|5984.0|547995894.0
2.0|16.0|16.0|140.0|66317.0|5988.0|547995894.0
2.0|16.0|32.0|140.0|66317.0|5984.0|547995894.0
2.0|32.0|2.0|136.0|757824.0|6491.0|547995894.0
2.0|32.0|4.0|136.0|757824.0|9974.0|547995894.0
2.0|32.0|8.0|136.0|757824.0|11968.0|547995894.0
2.0|32.0|16.0|136.0|757824.0|10970.0|547995894.0
2.0|32.0|32.0|136.0|757824.0|11968.0|547995894.0
4.0|2.0|2.0|424.0|343536.0|13962.0|561329742.0
4.0|2.0|4.0|424.0|343536.0|8976.0|561329742.0
4.0|2.0|8.0|424.0|343536.0|10971.0|561329742.0
4.0|2.0|16.0|424.0|343536.0|10893.0|561329742.0
4.0|2.0|32.0|424.0|343536.0|9973.0|561329742.0
4.0|4.0|2.0|424.0|159236.0|11967.0|561329742.0
4.0|4.0|4.0|424.0|159236.0|14960.0|561329742.0
4.0|4.0|8.0|424.0|159236.0|15957.0|561329742.0
4.0|4.0|16.0|424.0|159236.0|9974.0|561329742.0
4.0|4.0|32.0|424.0|159236.0|11969.0|561329742.0
4.0|8.0|2.0|451.0|894044.0|15957.0|561329742.0
4.0|8.0|4.0|451.0|894044.0|16954.0|561329742.0
4.0|8.0|8.0|451.0|894044.0|11969.0|561329742.0
4.0|8.0|16.0|451.0|894044.0|15956.0|561329742.0
4.0|8.0|32.0|451.0|894044.0|17952.0|561329742.0
4.0|16.0|2.0|452.0|873449.0|10971.0|561329742.0
4.0|16.0|4.0|452.0|873449.0|15958.0|561329742.0
4.0|16.0|8.0|452.0|873449.0|21941.0|561329742.0
4.0|16.0|16.0|452.0|873449.0|19947.0|561329742.0
4.0|16.0|32.0|452.0|873449.0|21942.0|561329742.0
4.0|32.0|2.0|444.0|76042.0|20925.0|561329742.0
4.0|32.0|4.0|444.0|76042.0|28923.0|561329742.0
4.0|32.0|8.0|444.0|76042.0|19947.0|561329742.0
4.0|32.0|16.0|444.0|76042.0|18949.0|561329742.0
4.0|32.0|32.0|444.0|76042.0|18950.0|561329742.0
8.0|2.0|2.0|691.0|842418.0|16917.0|592566706.0
8.0|2.0|4.0|691.0|842418.0|28923.0|592566706.0
8.0|2.0|8.0|691.0|842418.0|15958.0|592566706.0
